match_id,match_date_utc,competition_name,competition_type,competition_stage,home_team_id,home_team_code,home_team_name,home_team_name_en,away_team_id,away_team_code,away_team_name,away_team_name_en,home_score_ft,away_score_ft,result_90m,result_final,venue,city,country,neutral_flag,source,source_match_id
19931013-usa-mex-friendly,1993-10-13T00:00:00Z,Friendly,friendly,Friendly,usa,USA,美国,United States,mex,MEX,墨西哥,Mexico,1,1,draw,draw,"Washington, D.C.","Washington, D.C.",United States,0,martj42/international_results,1993-10-13__united states__mexico
19931015-ksa-jpn-fifa-world-cup-qualification,1993-10-15T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,ksa,KSA,沙特阿拉伯,Saudi Arabia,jpn,JPN,日本,Japan,0,0,draw,draw,Doha,Doha,Qatar,1,martj42/international_results,1993-10-15__saudi arabia__japan
19931016-irn-kor-fifa-world-cup-qualification,1993-10-16T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,irn,IRN,伊朗,IR Iran,kor,KOR,韩国,Korea Republic,0,3,away,away,Doha,Doha,Qatar,1,martj42/international_results,1993-10-16__iran__south korea
19931018-jpn-irn-fifa-world-cup-qualification,1993-10-18T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,jpn,JPN,日本,Japan,irn,IRN,伊朗,IR Iran,1,2,away,away,Doha,Doha,Qatar,1,martj42/international_results,1993-10-18__japan__iran
19931019-irq-kor-fifa-world-cup-qualification,1993-10-19T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,irq,IRQ,伊拉克,Iraq,kor,KOR,韩国,Korea Republic,2,2,draw,draw,Doha,Doha,Qatar,1,martj42/international_results,1993-10-19__iraq__south korea
19931022-irn-irq-fifa-world-cup-qualification,1993-10-22T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,irn,IRN,伊朗,IR Iran,irq,IRQ,伊拉克,Iraq,1,2,away,away,Doha,Doha,Qatar,1,martj42/international_results,1993-10-22__iran__iraq
19931022-kor-ksa-fifa-world-cup-qualification,1993-10-22T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,kor,KOR,韩国,Korea Republic,ksa,KSA,沙特阿拉伯,Saudi Arabia,1,1,draw,draw,Doha,Doha,Qatar,1,martj42/international_results,1993-10-22__south korea__saudi arabia
19931024-irq-ksa-fifa-world-cup-qualification,1993-10-24T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,irq,IRQ,伊拉克,Iraq,ksa,KSA,沙特阿拉伯,Saudi Arabia,1,1,draw,draw,Doha,Doha,Qatar,1,martj42/international_results,1993-10-24__iraq__saudi arabia
19931025-jpn-kor-fifa-world-cup-qualification,1993-10-25T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,jpn,JPN,日本,Japan,kor,KOR,韩国,Korea Republic,1,0,home,home,Doha,Doha,Qatar,1,martj42/international_results,1993-10-25__japan__south korea
19931028-irq-jpn-fifa-world-cup-qualification,1993-10-28T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,irq,IRQ,伊拉克,Iraq,jpn,JPN,日本,Japan,2,2,draw,draw,Doha,Doha,Qatar,1,martj42/international_results,1993-10-28__iraq__japan
19931028-ksa-irn-fifa-world-cup-qualification,1993-10-28T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,ksa,KSA,沙特阿拉伯,Saudi Arabia,irn,IRN,伊朗,IR Iran,4,3,home,home,Doha,Doha,Qatar,1,martj42/international_results,1993-10-28__saudi arabia__iran
19931031-aus-arg-fifa-world-cup-qualification,1993-10-31T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,aus,AUS,澳大利亚,Australia,arg,ARG,阿根廷,Argentina,1,1,draw,draw,Sydney,Sydney,Australia,0,martj42/international_results,1993-10-31__australia__argentina
19931107-tun-egy-friendly,1993-11-07T00:00:00Z,Friendly,friendly,Friendly,tun,TUN,突尼斯,Tunisia,egy,EGY,埃及,Egypt,2,1,home,home,Tunis,Tunis,Tunisia,0,martj42/international_results,1993-11-07__tunisia__egypt
19931110-aut-swe-fifa-world-cup-qualification,1993-11-10T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,aut,AUT,奥地利,Austria,swe,SWE,瑞典,Sweden,1,1,draw,draw,Vienna,Vienna,Austria,0,martj42/international_results,1993-11-10__austria__sweden
19931110-tur-nor-fifa-world-cup-qualification,1993-11-10T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,tur,TUR,土耳其,Turkiye,nor,NOR,挪威,Norway,2,1,home,home,Istanbul,Istanbul,Turkey,0,martj42/international_results,1993-11-10__turkey__norway
19931117-arg-aus-fifa-world-cup-qualification,1993-11-17T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,arg,ARG,阿根廷,Argentina,aus,AUS,澳大利亚,Australia,1,0,home,home,Buenos Aires,Buenos Aires,Argentina,0,martj42/international_results,1993-11-17__argentina__australia
19931117-ger-bra-friendly,1993-11-17T00:00:00Z,Friendly,friendly,Friendly,ger,GER,德国,Germany,bra,BRA,巴西,Brazil,2,1,home,home,Cologne,Cologne,Germany,0,martj42/international_results,1993-11-17__germany__brazil
19931215-arg-ger-friendly,1993-12-15T00:00:00Z,Friendly,friendly,Friendly,arg,ARG,阿根廷,Argentina,ger,GER,德国,Germany,2,1,home,home,Miami,Miami,United States,1,martj42/international_results,1993-12-15__argentina__germany
19931216-mex-bra-friendly,1993-12-16T00:00:00Z,Friendly,friendly,Friendly,mex,MEX,墨西哥,Mexico,bra,BRA,巴西,Brazil,0,1,away,away,Guadalajara,Guadalajara,Mexico,0,martj42/international_results,1993-12-16__mexico__brazil
19931218-usa-ger-friendly,1993-12-18T00:00:00Z,Friendly,friendly,Friendly,usa,USA,美国,United States,ger,GER,德国,Germany,0,3,away,away,Palo Alto,Palo Alto,United States,0,martj42/international_results,1993-12-18__united states__germany
19931222-mex-ger-friendly,1993-12-22T00:00:00Z,Friendly,friendly,Friendly,mex,MEX,墨西哥,Mexico,ger,GER,德国,Germany,0,0,draw,draw,Mexico City,Mexico City,Mexico,0,martj42/international_results,1993-12-22__mexico__germany
19931229-gha-egy-friendly,1993-12-29T00:00:00Z,Friendly,friendly,Friendly,gha,GHA,加纳,Ghana,egy,EGY,埃及,Egypt,0,0,draw,draw,Accra,Accra,Ghana,0,martj42/international_results,1993-12-29__ghana__egypt
19931231-gha-tun-friendly,1993-12-31T00:00:00Z,Friendly,friendly,Friendly,gha,GHA,加纳,Ghana,tun,TUN,突尼斯,Tunisia,1,1,draw,draw,Accra,Accra,Ghana,0,martj42/international_results,1993-12-31__ghana__tunisia
19940102-gha-egy-friendly,1994-01-02T00:00:00Z,Friendly,friendly,Friendly,gha,GHA,加纳,Ghana,egy,EGY,埃及,Egypt,2,1,home,home,Accra,Accra,Ghana,0,martj42/international_results,1994-01-02__ghana__egypt
19940115-usa-nor-friendly,1994-01-15T00:00:00Z,Friendly,friendly,Friendly,usa,USA,美国,United States,nor,NOR,挪威,Norway,2,1,home,home,Tempe,Tempe,United States,0,martj42/international_results,1994-01-15__united states__norway
19940119-esp-por-friendly,1994-01-19T00:00:00Z,Friendly,friendly,Friendly,esp,ESP,西班牙,Spain,por,POR,葡萄牙,Portugal,2,2,draw,draw,Vigo,Vigo,Spain,0,martj42/international_results,1994-01-19__spain__portugal
19940119-tun-ned-friendly,1994-01-19T00:00:00Z,Friendly,friendly,Friendly,tun,TUN,突尼斯,Tunisia,ned,NED,荷兰,Netherlands,2,2,draw,draw,Tunis,Tunis,Tunisia,0,martj42/international_results,1994-01-19__tunisia__netherlands
19940122-usa-sui-friendly,1994-01-22T00:00:00Z,Friendly,friendly,Friendly,usa,USA,美国,United States,sui,SUI,瑞士,Switzerland,1,1,draw,draw,Fullerton,Fullerton,United States,0,martj42/international_results,1994-01-22__united states__switzerland
19940126-mex-sui-friendly,1994-01-26T00:00:00Z,Friendly,friendly,Friendly,mex,MEX,墨西哥,Mexico,sui,SUI,瑞士,Switzerland,1,5,away,away,Oakland,Oakland,United States,1,martj42/international_results,1994-01-26__mexico__switzerland
19940202-egy-mar-united-arab-emirates-friendship-tournament,1994-02-02T00:00:00Z,United Arab Emirates Friendship Tournament,competitive,United Arab Emirates Friendship Tournament,egy,EGY,埃及,Egypt,mar,MAR,摩洛哥,Morocco,1,1,draw,draw,Sharjah,Sharjah,United Arab Emirates,1,martj42/international_results,1994-02-02__egypt__morocco
19940206-ksa-col-friendly,1994-02-06T00:00:00Z,Friendly,friendly,Friendly,ksa,KSA,沙特阿拉伯,Saudi Arabia,col,COL,哥伦比亚,Colombia,1,1,draw,draw,Jeddah,Jeddah,Saudi Arabia,0,martj42/international_results,1994-02-06__saudi arabia__colombia
19940218-col-swe-joe-robbie-cup,1994-02-18T00:00:00Z,Joe Robbie Cup,competitive,Joe Robbie Cup,col,COL,哥伦比亚,Colombia,swe,SWE,瑞典,Sweden,0,0,draw,draw,Miami,Miami,United States,1,martj42/international_results,1994-02-18__colombia__sweden
19940220-usa-swe-joe-robbie-cup,1994-02-20T00:00:00Z,Joe Robbie Cup,competitive,Joe Robbie Cup,usa,USA,美国,United States,swe,SWE,瑞典,Sweden,1,3,away,away,Miami,Miami,United States,0,martj42/international_results,1994-02-20__united states__sweden
19940223-tur-cze-friendly,1994-02-23T00:00:00Z,Friendly,friendly,Friendly,tur,TUR,土耳其,Turkiye,cze,CZE,捷克,Czechia,1,4,away,away,Istanbul,Istanbul,Turkey,0,martj42/international_results,1994-02-23__turkey__czech republic
19940224-mex-swe-friendly,1994-02-24T00:00:00Z,Friendly,friendly,Friendly,mex,MEX,墨西哥,Mexico,swe,SWE,瑞典,Sweden,2,1,home,home,Fresno,Fresno,United States,1,martj42/international_results,1994-02-24__mexico__sweden
19940226-col-kor-friendly,1994-02-26T00:00:00Z,Friendly,friendly,Friendly,col,COL,哥伦比亚,Colombia,kor,KOR,韩国,Korea Republic,2,2,draw,draw,Monterey Park,Monterey Park,United States,1,martj42/international_results,1994-02-26__colombia__south korea
19940302-mex-col-friendly,1994-03-02T00:00:00Z,Friendly,friendly,Friendly,mex,MEX,墨西哥,Mexico,col,COL,哥伦比亚,Colombia,0,0,draw,draw,Mexico City,Mexico City,Mexico,0,martj42/international_results,1994-03-02__mexico__colombia
19940305-usa-kor-friendly,1994-03-05T00:00:00Z,Friendly,friendly,Friendly,usa,USA,美国,United States,kor,KOR,韩国,Korea Republic,1,0,home,home,Monterey Park,Monterey Park,United States,0,martj42/international_results,1994-03-05__united states__south korea
19940312-usa-kor-friendly,1994-03-12T00:00:00Z,Friendly,friendly,Friendly,usa,USA,美国,United States,kor,KOR,韩国,Korea Republic,1,1,draw,draw,Fullerton,Fullerton,United States,0,martj42/international_results,1994-03-12__united states__south korea
19940323-bra-arg-friendly,1994-03-23T00:00:00Z,Friendly,friendly,Friendly,bra,BRA,巴西,Brazil,arg,ARG,阿根廷,Argentina,2,0,home,home,Recife,Recife,Brazil,0,martj42/international_results,1994-03-23__brazil__argentina
19940323-esp-cro-friendly,1994-03-23T00:00:00Z,Friendly,friendly,Friendly,esp,ESP,西班牙,Spain,cro,CRO,克罗地亚,Croatia,0,2,away,away,Valencia,Valencia,Spain,0,martj42/international_results,1994-03-23__spain__croatia
